"uzemi_txt","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","pocet_bodovanych_ridicu","celkovy_pocet_ridicu","pohlavi_txt","uzemi_typ","stav_k_datu"
"Louny",11,220,16,120,5,43,9,4,3,9,0,19,459,12999,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Lovosice",4,81,8,58,2,8,1,4,1,0,0,13,180,8192,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Most",20,218,23,198,6,46,10,13,2,6,3,36,581,18573,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Podbořany",7,70,3,33,0,13,4,0,1,1,1,11,144,4216,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Roudnice nad Labem",4,107,8,76,3,21,4,5,0,4,2,19,253,10333,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Rumburk",2,93,8,86,1,15,11,4,3,0,3,27,253,8280,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Teplice",31,573,54,278,13,72,18,18,5,7,3,51,1123,30545,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Ústí nad Labem",18,348,31,203,4,79,23,3,3,9,5,52,778,31072,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Varnsdorf",1,33,11,45,1,16,5,1,0,0,0,11,124,5307,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Žatec",4,115,11,96,3,27,2,8,4,2,0,13,285,7790,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Ústecký kraj",180,3099,281,1997,61,593,153,99,39,61,27,379,6969,222575,"žena","kraj","2025_06"
"Bystřice pod Hostýnem",4,35,7,27,2,5,1,2,1,1,0,2,87,4623,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Holešov",7,67,7,67,1,10,4,2,0,2,0,6,173,6628,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Kroměříž",19,375,31,151,5,53,18,5,6,6,1,18,688,20152,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Luhačovice",3,39,4,42,0,11,4,1,0,0,0,4,108,5703,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Otrokovice",9,119,11,101,3,42,9,3,1,3,2,8,311,10007,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Rožnov pod Radhoštěm",2,112,12,94,2,23,12,2,0,1,0,8,268,10651,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Uherské Hradiště",32,303,29,204,5,85,12,10,7,3,4,21,715,27581,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Uherský Brod",13,140,16,116,3,30,11,6,0,1,0,14,350,15357,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Valašské Klobouky",6,51,5,47,1,9,2,4,0,0,0,1,126,6628,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Valašské Meziříčí",12,87,18,94,1,32,4,7,0,6,0,13,274,12913,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Vizovice",3,60,4,57,1,9,3,0,0,3,0,5,145,5562,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Vsetín",11,220,16,152,6,42,11,4,4,0,1,21,488,18659,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Zlín",20,298,28,219,5,66,21,19,1,2,1,20,700,31960,"žena","správní obvod obce s rozšířenou působností","2025_06"
"Zlínský kraj",141,1906,188,1371,35,417,112,65,20,28,9,141,4433,176424,"žena","kraj","2025_06"
"ČR",2559,34148,3190,25716,764,7458,1640,1457,311,594,302,3547,81686,3233538,"žena","stát","2025_06"
